                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1187,                 2.4408,                 1.6168,                0.00455,                      1,                0.77806,                0.32939,                 1.0455,                 3.1651,                 1.8537,                0.00018,                0.00018,                0.00018
                      2,                 1.1846,                 1.6231,                   1.66,                0.00455,                      1,                0.48033,                0.20925,                  1.696,                 3.1779,                 2.3305,             0.00037812,             0.00037812,             0.00037812
                      3,                 1.1735,                 1.4701,                 1.6331,                0.71312,                    0.4,                0.61359,                0.18101,                 1.8505,                 3.1671,                 2.5322,             0.00057426,             0.00057426,             0.00057426
                      4,                 1.2217,                 1.4478,                 1.6784,                0.74477,                    0.2,                0.40617,                 0.1964,                 1.4587,                  3.221,                 2.2163,             0.00076842,             0.00076842,             0.00076842
                      5,                 1.2274,                 1.5193,                 1.6946,                0.09657,                0.53333,                0.14146,                0.02818,                 2.7762,                 3.6855,                 3.1658,              0.0009606,              0.0009606,              0.0009606
                      6,                 1.2112,                 1.3669,                 1.6352,                      1,                0.16454,                0.25607,                0.09349,                 2.3261,                 3.4899,                 3.1228,              0.0011508,              0.0011508,              0.0011508
                      7,                 1.2376,                  1.323,                 1.6653,                0.43143,                    0.2,                0.23239,                0.06506,                 2.1269,                 3.1121,                 2.9758,               0.001339,               0.001339,               0.001339
                      8,                 1.2182,                 1.2608,                 1.6331,                 0.2156,                    0.2,                0.11058,                0.06406,                 2.4996,                 3.3912,                 3.7014,              0.0015253,              0.0015253,              0.0015253
                      9,                 1.2509,                 1.2309,                  1.693,                0.33401,                0.46667,                0.41302,                0.20086,                  1.962,                 2.5215,                 2.8733,              0.0017095,              0.0017095,              0.0017095
                     10,                 1.2938,                  1.239,                 1.7093,                0.46811,                    0.4,                0.37976,                0.15145,                 2.3581,                 2.5667,                 3.4489,              0.0018918,              0.0018918,              0.0018918
                     11,                 1.2777,                 1.2392,                 1.7046,                0.79215,                 0.2562,                0.33402,                0.07112,                 2.8095,                 2.7594,                 3.9283,               0.001901,               0.001901,               0.001901
                     12,                 1.2468,                 1.1716,                 1.6721,                0.39894,                    0.4,                0.29086,                0.09793,                 2.6492,                 2.6446,                 3.8161,               0.001901,               0.001901,               0.001901
                     13,                 1.3417,                 1.1821,                 1.7173,                0.23716,                0.73333,                0.18899,                0.06361,                 2.1513,                 2.8583,                 2.7964,              0.0018911,              0.0018911,              0.0018911
                     14,                  1.243,                 1.1431,                 1.6729,                 0.5065,                    0.4,                0.43172,                0.15623,                 2.1329,                 2.8449,                 2.7905,              0.0018812,              0.0018812,              0.0018812
                     15,                 1.2665,                  1.142,                 1.6464,                0.26121,                0.53333,                0.22976,                 0.0918,                 2.0308,                 2.8413,                 2.8349,              0.0018713,              0.0018713,              0.0018713
                     16,                 1.2057,                 1.1101,                 1.6556,                 0.4955,                    0.4,                0.40268,                0.18496,                  1.769,                 2.3898,                 2.6099,              0.0018614,              0.0018614,              0.0018614
                     17,                 1.2286,                 1.0763,                 1.6485,                0.60398,                0.53333,                0.51185,                0.19196,                 2.4357,                 2.1972,                 3.1584,              0.0018515,              0.0018515,              0.0018515
                     18,                 1.2157,                 1.0122,                 1.6248,                0.43677,                0.46667,                0.40894,                0.21077,                 2.3963,                 2.6769,                 3.7029,              0.0018416,              0.0018416,              0.0018416
                     19,                 1.2815,                 1.0163,                 1.6788,                0.09343,                    0.6,                0.14965,                0.07246,                 2.6186,                 3.8827,                 3.5833,              0.0018317,              0.0018317,              0.0018317
                     20,                 1.2202,                 1.0406,                 1.6489,                 0.4052,                0.53333,                0.37722,                0.15563,                 2.4749,                 1.8642,                 3.0403,              0.0018218,              0.0018218,              0.0018218
                     21,                 1.2183,                 1.0213,                 1.6322,                  0.467,                    0.4,                0.34877,                0.14784,                 2.5963,                 1.9785,                 3.3536,              0.0018119,              0.0018119,              0.0018119
                     22,                 1.1868,                0.98295,                 1.5954,                0.61857,                    0.8,                0.81457,                0.34001,                 1.9633,                 1.2273,                 2.5186,               0.001802,               0.001802,               0.001802
                     23,                 1.1923,                0.96685,                 1.6268,                0.54331,                    0.4,                0.50171,                 0.2072,                 2.2201,                 1.9827,                 2.7881,              0.0017921,              0.0017921,              0.0017921
                     24,                 1.2433,                 1.0303,                 1.6393,                0.69992,                0.46652,                0.53457,                0.24221,                 2.1763,                 1.9771,                 2.9238,              0.0017822,              0.0017822,              0.0017822
                     25,                 1.2298,                0.92202,                 1.6459,                0.83242,                0.66667,                0.71226,                 0.2768,                 1.8329,                 1.7839,                 2.4082,              0.0017723,              0.0017723,              0.0017723
                     26,                 1.1942,                0.96542,                 1.5981,                0.38119,                0.53333,                0.27193,                0.11115,                  2.214,                 2.2924,                 2.7578,              0.0017624,              0.0017624,              0.0017624
                     27,                 1.2166,                0.94331,                 1.5873,                0.58505,                0.53333,                0.50844,                 0.1907,                 2.2138,                 2.2625,                 2.8244,              0.0017525,              0.0017525,              0.0017525
                     28,                 1.1673,                0.88939,                 1.5796,                      1,                0.64241,                0.74013,                0.34197,                 1.8452,                 1.4017,                  2.419,              0.0017426,              0.0017426,              0.0017426
                     29,                 1.1786,                0.93557,                 1.6258,                0.92667,                0.66667,                0.81265,                0.35999,                 1.8152,                 1.3596,                 2.4838,              0.0017327,              0.0017327,              0.0017327
                     30,                 1.1247,                0.88111,                 1.5526,                0.44831,                0.66667,                0.54073,                0.24212,                 2.3992,                 1.4851,                 3.1761,              0.0017228,              0.0017228,              0.0017228
                     31,                 1.1891,                0.88272,                 1.5735,                0.57078,                0.73333,                0.70791,                0.33302,                  1.863,                 1.4095,                  2.556,              0.0017129,              0.0017129,              0.0017129
